"LENGTH","NEGATIVE","SEQUENCE","SEQUENCE2by2","STD","MERGE1","MERGE2","MERGE3","MERGE4","MERGE5","MERGE6","MERGE7","MERGE8","HEAP1","HEAP2","HEAP3","HEAP4","HEAP5","HEAP6","HEAP7","HEAP8","MIX1","MIX2","MIX3","MIX4","MIX5","MIX6","MIXDIF","Id","Predicted","confidence(2)","confidence(1)","prediction(Predicted)"
100000.0,0.5008,0.49977,0.25075,1.239641121198832E9,304274.4795481364,469954.0138244629,653665.30418396,349390.82463582355,165679.53427632648,183711.29035949707,1427893.7975565593,2148.2751532586212,667701.6417185465,1032010.7936859131,1414673.5668182373,746971.9250996908,364309.1519673666,382662.7731323242,3114386.002222697,2118.7211149835075,363427.1621704101,562056.7798614502,761008.2626342773,2194.4056652734025,2195.9825074957002,2164.217004884977,3.0,8002.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.49554,0.49923,0.25033,1.2382342750988243E9,302315.31461079913,463962.8728230794,646399.180094401,344083.86548360187,161647.55821228027,182436.3072713216,1412677.3675282795,2138.162206326119,623973.6080169678,984416.8027242025,1377776.9406636555,753803.3326466877,360443.19470723474,393360.137939453,2986167.351404826,2208.0692563942375,321658.29340616864,520453.9299011231,731377.7605692545,2063.9827949843416,2121.757710340726,2131.4645548628996,3.0,8013.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.49908,0.50075,0.24953,1.239887259496981E9,304498.91090393066,476756.0164133708,636628.0714670817,332129.160563151,172257.10550944012,159872.05505371088,1417882.9987843833,2090.740060702344,623070.478439331,1013456.7419687907,1366004.0696461995,742933.5912068684,390386.2635294596,352547.3276774088,3002531.2900543213,2192.374886815005,318571.5675354004,536700.7255554199,729375.9981791178,2046.2157864200362,2125.7345624980517,2145.6862034033506,3.0,8015.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.50322,0.50082,0.25202,1.2425109440569844E9,304161.9459788005,468396.98155721027,649685.7007344564,345523.75475565594,164235.0355784098,181288.71917724615,1422244.6282704673,2135.986139369776,623267.4916585287,987086.6139729818,1354422.4898020427,731154.998143514,363819.1223144531,367335.8758290609,2964776.595433553,2173.0998454578375,319105.5456797282,518689.63241577154,704736.7890675863,2049.1304053596805,2107.371850884608,2084.734954564793,3.0,8021.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.49801,0.49995,0.25179,1.2385632389386697E9,294921.6365814209,461720.38714090985,630994.2404429117,336072.60386149085,166798.75055948895,169273.8533020019,1387636.2641652427,2139.5318694046005,630979.3790181478,994147.6186116537,1365150.3721872966,734170.9931691488,363168.23959350586,371002.75357564294,2990277.369817098,2163.5419755104754,336057.7424367269,532427.2314707439,734156.1317443849,2139.481478307711,2153.137800060484,2163.491018918114,3.0,8024.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.50255,0.49954,0.24921,1.2420125462486863E9,304339.1704559326,459363.4605407715,639733.632405599,335394.4619496664,155024.29008483887,180370.1718648275,1403436.2634023032,2102.041716967322,625443.2201385498,983767.4299875895,1363789.0815734863,738345.8614349365,358324.2098490397,380021.65158589685,2972999.7316996255,2180.516212601003,321104.0496826172,524403.969446818,724055.4491678873,2055.0861698202334,2141.588337978558,2131.807696971022,3.0,8025.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.49908,0.49884,0.24925,1.2362201646560256E9,298875.1729329427,459558.48693847656,638492.9021199545,339617.7291870118,160683.31400553387,178934.4151814779,1396926.5619913735,2136.319640919824,636300.245920817,994474.3315378824,1351834.8534901936,715534.6075693766,358174.08561706543,357360.52195231116,2982609.430948893,2124.5235439660973,337425.07298787433,534915.8445994059,713341.9513702391,2128.9832797974855,2163.977730371059,2117.2276919630076,3.0,8030.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.49784,0.50048,0.25061,1.239425029667202E9,299822.6483662923,461146.11625671387,638668.1397755941,338845.4914093018,161323.46789042157,177522.02351888025,1399636.9043986,2130.1530863516873,618551.8900553385,981728.7921905518,1371536.9701385498,752985.0800832113,363176.90213521325,389808.17794799805,2971817.65238444,2217.335347590395,318729.2416890462,520582.6759338379,732868.8303629557,2063.0592566164505,2128.8887785927627,2147.4955218847467,3.0,8033.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.50004,0.49959,0.24912,1.2410850483169804E9,302258.57098897296,475495.4973856608,638419.4691975912,336160.8982086182,173236.92639668786,162923.97181193036,1416173.537572225,2112.1633279371326,625374.7940063477,987777.3920694987,1417184.9886576335,791810.1946512859,362402.598063151,429407.5965881349,3030337.1747334795,2266.1370465200566,323116.2230173747,512281.89468383783,778765.5194600424,2069.0059903352176,2077.36434414297,2219.8336000605486,3.0,8035.0,,0.9461756373937678,0.053824362606232294,"2"
100000.0,0.50091,0.49982,0.25197,1.2392433134368718E9,302933.3750406901,468062.0034535726,648324.0127563477,345390.63771565753,165128.62841288245,180262.00930277508,1419319.3912506104,2140.1537967523864,621341.3079579672,977340.2214050293,1350664.6951039631,729323.387145996,355998.91344706214,373324.47369893384,2949346.22446696,2173.7886694559406,318407.93291727704,509278.2179514567,702340.6823476155,2051.082380323754,2088.057168054173,2083.3173976722164,3.0,8038.0,,0.9461756373937678,0.053824362606232294,"2"
