"LENGTH","NEGATIVE","SEQUENCE","SEQUENCE2by2","STD","INVERSIONS","MERGE1","MERGE2","MERGE3","MERGE4","MERGE5","MERGE6","MERGE7","MERGE8","HEAP1","HEAP2","HEAP3","HEAP4","HEAP5","HEAP6","HEAP7","HEAP8","MIX1","MIX2","MIX3","MIX4","MIX5","MIX6","MIXDIF","Id","Predicted","confidence(1)","confidence(2)","prediction(Predicted)"
100.0,0.47,0.51,0.27,1.184109668436721E9,2240.0,999.45068359375,1998.9808400472004,2664.804458618164,1665.353775024414,999.5301564534504,665.8236185709636,5663.235982259114,2666.269083969466,1332.5214385986328,2665.5197143554688,3664.4935607910156,2331.972122192383,1332.998275756836,998.9738464355469,7662.534713745117,2750.0447307210593,333.0707550048828,666.5388743082683,999.6891021728516,1333.2538167938933,1333.4393511708345,1375.1453878500492,3.0,2006.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.54,0.47,0.24,1.2579911295949562E9,2136.0,999.2122650146484,1999.5371500651042,2664.8839314778647,1665.6716664632163,1000.3248850504558,665.3467814127605,5663.633346557617,2666.984808717092,1665.1153564453125,2332.290013631185,3997.4848429361978,2332.3694864908853,667.1746571858725,1665.1948293050127,7994.890213012695,2400.725467735777,665.9030914306641,332.7528635660808,1332.600911458333,1666.4280601288474,1166.414944356121,1500.0596445186686,3.0,2007.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.47,0.49,0.24,1.237954996980484E9,2226.0,1332.6009114583333,1665.671666463216,2665.360768636068,1332.7598571777346,333.0707550048828,999.6891021728518,5663.633346557617,2000.1192748091605,1665.5921936035156,2665.2018229166665,3664.414087931315,1998.8218943277993,999.6096293131509,999.2122650146484,7995.208104451496,2200.066800267201,332.99128214518237,999.5301564534504,999.0533192952471,1249.8807251908397,1600.0763395200152,1374.8285526865047,3.0,2008.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.43,0.5,0.29,1.1800846596447198E9,2450.0,999.3712107340494,1665.9895579020183,2998.35205078125,1998.9808400472007,666.6183471679689,1332.3624928792317,5663.712819417318,3000.238568588469,1332.998275756836,2331.0979207356772,3664.255142211914,2331.256866455078,998.0996449788413,1333.1572214762368,7328.351338704428,2748.882131997854,333.6270650227865,665.1083628336589,665.9030914306641,1333.8369781312126,1399.227209845919,1222.0896946564885,3.0,2010.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.5,0.44,0.21,1.203246829942024E9,2477.0,999.1327921549479,1998.6629486083984,2665.281295776367,1666.1485036214194,999.5301564534506,666.6183471679688,5663.077036539713,2667.5946547884187,1665.7511393229167,2331.892649332682,3997.7232615152993,2331.972122192383,666.1415100097654,1665.8306121826172,7995.367050170898,2399.952290076336,666.6183471679689,333.2297007242837,1332.4419657389321,1667.1969455933822,1166.7263111853354,1499.925455467096,3.0,2012.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.46,0.51,0.22,1.220314799915967E9,2825.0,1998.4245300292969,2998.4315236409507,3331.5022786458335,1333.0777486165366,1000.0069936116538,333.0707550048828,8328.358332316082,1667.0643442296987,2998.1136322021484,2665.1223500569663,3664.4935607910156,666.3799285888672,-332.99128214518214,999.3712107340493,9327.72954305013,1222.2664015904572,999.6891021728516,-333.3091735839844,332.99128214518214,1500.2386065378191,888.8388242466008,1099.9522900763359,2.0,2013.0,,0.7458662832494608,0.2541337167505392,"1"
100.0,0.5,0.51,0.26,1.2915726588974252E9,2568.0,1332.5214385986328,1998.7424214680989,2665.281295776367,1332.7598571777344,666.2209828694661,666.5388743082683,5996.545155843099,2000.178922884237,1332.4419657389324,2665.2018229166665,3664.5730336507163,2332.131067911784,1332.7598571777341,999.3712107340498,7662.2168223063145,2750.268400334009,-0.07947285970044504,666.4594014485676,999.2917378743491,999.9403590385878,1333.4393638170973,1374.9291826937413,2.0,2014.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.44,0.52,0.29,1.2990687689315827E9,2312.0,999.45068359375,2004.9413045247395,3331.422805786133,2331.972122192383,1005.4906209309895,1326.4815012613933,6335.814793904622,3333.253816793893,1664.0822092692058,2332.607905069987,3997.166951497396,2333.0847422281904,668.525695800781,1664.5590464274092,7993.857065836588,2402.0249295572853,664.6315256754558,327.6666005452473,665.7441457112632,1664.9968193384223,1163.4295227524972,1199.8377823898472,3.0,2015.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.51,0.52,0.2,1.1138941645108173E9,1977.0,1332.680384318034,1999.4576772054036,2664.327621459961,1331.647237141927,666.7772928873696,664.8699442545574,5996.465682983398,1999.224759973761,1332.5214385986328,2664.5660400390625,3665.5267079671225,2333.0052693684897,1332.0446014404297,1000.96066792806,7662.614186604818,2750.820063219419,-0.15894571940111746,665.1083628336589,1001.1990865071616,999.8807323036555,1332.6443817321833,1375.779269202088,2.0,2016.0,,0.3978102189781022,0.6021897810218978,"2"
100.0,0.49,0.55,0.32,1.3098345860638096E9,2408.0,1334.1108957926433,1997.232437133789,2665.281295776367,1331.1703999837239,663.1215413411458,668.0488586425781,5996.6246287028,1997.7959135044973,1332.4419657389324,2665.281295776367,3331.1843872070312,1998.7424214680989,1332.8393300374348,665.9030914306641,7328.907648722331,2500.0596445186684,-1.6689300537109375,668.0488586425781,665.9030914306641,998.749031989039,1334.487286618121,1249.8434564809018,2.0,2017.0,,0.3978102189781022,0.6021897810218978,"2"
